id,log vol score,no vol score,score,mean volume,volatility,long mom,short unweighted mom,long unweighted mom
2640,-377.77150566912104,-34.876093691322936,-313.6898371572201,157367.321326563,0.0001111801836087,-31.19002897551677,-60.057857776722834,-17.066459037660156
2650,-289.76458567461776,-18.03532758590436,-359.0626165881998,61685.28019879245,5.022892039632364e-05,-14.453584312666775,-28.71417501539556,-14.519966702888334
2660,-609.2939614333897,-42.46070302534436,-648.4998594435123,122964.41088098015,6.547526943456941e-05,-36.14380718675997,-60.88087788818727,-36.67431983967023
2670,-281.23733400835584,-18.889729442154998,-312.787514077412,61570.41411194214,6.039157124884455e-05,-14.697574929594538,-28.890428526742745,-17.273339382688146
2680,-215.1397015940721,-14.84194332900534,-231.6648709297918,96083.85254922362,6.40664390308159e-05,-13.493553845839802,-17.903877530810263,-14.476788093531487
2690,-152.42288590581506,-10.438761818901039,-165.54787397286694,76524.07407115868,6.305584945543871e-05,-8.246064373484051,-15.847354195550226,-9.415564333085824
2700,-240.8873092947628,-22.592776705756748,-197.81672862171,169471.58997086974,0.0001142106477201,-21.581971259921268,-13.77458804196334,-33.432576261298586
2710,-94.09175201078347,-5.8482608429709675,-116.85904980078396,41872.56672307268,5.004542526180744e-05,-4.630735826274155,-8.321185204771256,-5.8103865145643
2720,-201.06635131293845,-14.544799583904092,-205.47690994302152,67499.25356752964,7.078556703980679e-05,-12.735277770117078,-24.36118702338972,-8.347455771992495
2730,-116.82465929642886,-7.807674114953406,-130.7504456648279,51111.00961049342,5.971432124191745e-05,-6.688994907200618,-9.699790579453284,-8.15291606595911
2740,-42.754574518480524,-3.0849703264015185,-43.80852411830474,73836.9290044009,7.041940783192259e-05,-4.930957747661148,-5.8421839341218655,3.364218123838088
2750,-682.4037765277795,-49.39769833534163,-696.875200324649,136709.9769031632,7.088456916292764e-05,-43.68416450800212,-80.86697298893408,-29.35549133642818
2760,-113.00630528039753,-6.686219341851653,-153.78595101768218,46724.722158812976,4.347743924334725e-05,-6.444702748517079,-8.718266512979643,-5.137205357392814
2770,-184.94203873933648,-10.828715593896785,-257.5537707475062,56511.891242761325,4.204448477872513e-05,-7.921646425374116,-18.067334285228387,-9.404235239610518
2780,-620.3400199741383,-57.178496083170465,-515.6979982380263,220750.68386733887,0.0001108759318022,-41.46916354825596,-93.36774672350217,-52.40791051271483
