score,vol,r_vol,theta_0,theta_1,r_theta,sigma_0,sigma_1,r_sigma
-169.4566073084057,8.48364282184931e-05,1.0651955541531126,0.0346191676142159,0.0239848692727192,0.6928205074136471,2.895247301211222e-06,3.018559272392974e-06,1.0425911704088853
-80.1145535896046,6.75739709945734e-05,0.9151529859128906,0.026574724062383,0.0279238454626505,1.050767089701496,2.576722322802769e-06,2.324678767247929e-06,0.9021844327871988
-85.06304381680691,5.208178182930355e-05,0.8540742694571242,0.0249880535290286,0.0272102692084431,1.0889311237000894,2.1173608436550493e-06,1.803874772862436e-06,0.8519449003073727
-98.41469488481194,5.900978973430401e-05,1.2894947020041405,0.0207126891225459,0.0270261153498575,1.304809587492889,1.897033793045021e-06,2.419790536993496e-06,1.2755653303937051
-178.28896979956147,7.288261544557842e-05,0.6796826928592901,0.0255590562087439,0.0279788421892503,1.0946743088142126,3.2715554301175208e-06,2.2190473035497773e-06,0.6782851004514586
-131.73775388597062,6.949753547365792e-05,1.0255082578153756,0.0284129460927458,0.0238802015744485,0.8404690417001662,2.6953056000275576e-06,2.708014504857919e-06,1.0047151999499542
-29.45110568223672,5.612741665963249e-05,1.4407075073046598,0.0183136612658017,0.0395820451598806,2.161339809958952,1.7113525791447826e-06,2.4304259266017867e-06,1.4201783759933024
-48.28242187414246,9.024265436130624e-05,1.543241754542221,0.0222258962290415,0.0282674190176104,1.2718235848089092,2.5436589138434384e-06,3.850014345632219e-06,1.5135733508447848
-67.4363075013429,0.0001079963086231,1.926522981966311,0.0186528059164038,0.0609120845754342,3.2655722065850883,2.4997084419922373e-06,4.781019727875109e-06,1.912630948297592
-46.54151310469344,0.0002183322506475,2.8823134564344834,0.018566975875242,0.0507190236785503,2.7316793008914817,3.553026675451623e-06,9.832527716617148e-06,2.767366703028578
-73.20599617693675,5.8890471275169416e-05,0.772849117881253,0.0285802750062891,0.0262324661886852,0.9178521264372976,2.375355358404285e-06,1.866939034002496e-06,0.7859619940220933
-99.65482673346236,6.422162784624511e-05,0.7201652785905602,0.0310813482835863,0.0226419013316823,0.7284723019444808,2.665190332741852e-06,1.8832797086117995e-06,0.7066210939893169
-84.37455577130528,0.0005411439932786,2.872109026606638,0.0374569671135566,0.0644507088033493,1.720660100641812,8.429409076909796e-06,2.2352339459537776e-05,2.6517089460951984
-70.52696437501747,6.127769781047928e-05,1.0682360125623023,0.0178835819760974,0.0239937998394028,1.3416663323640745,1.971723299086414e-06,2.1185360322840813e-06,1.0744590953840694
-44.405606367307534,0.000117011766739,0.7320630068997385,0.0175656898505142,0.0205269181626468,1.1685802457707568,4.429230296621796e-06,3.2095245839671806e-06,0.7246235506009039
-128.42689403587045,0.0001221102495841,0.9750248218133617,0.0212182678467283,0.0330153718907701,1.5559880820271963,4.112582953728191e-06,3.993506749139341e-06,0.9710458838329564
-113.51169791318588,9.621176260045464e-05,0.8393137070651612,0.0215615858177112,0.018811859984947,0.872471076292287,3.476102699368621e-06,2.8802838182589872e-06,0.8285957197933609
-127.58607662271729,9.669819961491946e-05,0.9937534619110024,0.0169788801271631,0.0209731431256491,1.2352489073820536,3.1193484594059067e-06,3.118700241397138e-06,0.9997921944222634
-68.24861076907241,9.542816412682e-05,0.7067710726866402,0.032129263504265,0.0266389364736011,0.8291175572718912,3.679199543098909e-06,2.5802517919892377e-06,0.7013079235751233
-49.60072593278581,0.0001321074982382,0.821634546361072,0.0283928704336398,0.035892090675553,1.2641233565813788,5.223935324540412e-06,4.274779000044092e-06,0.8183062642377135
-139.98095692461948,7.942280387421391e-05,0.8214174079520821,0.0406890611442288,0.0230888031185132,0.5674449709387805,3.246708557329007e-06,2.6264840857583435e-06,0.8089682333295392
-62.99355584956208,7.222266663313761e-05,1.1952732187756225,0.0186678180820418,0.0275965572340446,1.4782958090100604,2.3518663059848807e-06,2.7693784655614078e-06,1.1775237642182586
-100.74545083272616,5.940408462024224e-05,1.001834610580377,0.0221373621261189,0.0212054968615074,0.9579053159404214,2.124768669568499e-06,2.117176939660882e-06,0.996427032261748
-138.64439873251126,6.700955583164805e-05,0.9884980602812513,0.0148647590534484,0.0362635179733091,2.43956311992131,2.552316637381513e-06,2.489950300696672e-06,0.975564812072524
-279.53204076543,0.0001098202807685,0.7129230142255951,0.0400965192733952,0.0310301651581489,0.7738867542734079,4.720125330600514e-06,3.2816356984911188e-06,0.6952433396664947
-133.0908069708711,0.0001839902656541,0.4582955568408218,0.0475204965956886,0.0309723165961333,0.6517675280132357,8.531678083976222e-06,3.811630292658819e-06,0.4467620853882937
-59.14641400704588,6.694541571667275e-05,1.0451644076405036,0.0233255496134331,0.0318058566996368,1.36356301252254,2.253345094307353e-06,2.36593482095191e-06,1.049965594230992
-170.6914646108625,0.0001097799361212,0.6656960114544668,0.0174790036589897,0.0210123756673441,1.202149509050367,4.515295449147846e-06,3.066628970905227e-06,0.6791646317372166
