id,no vol score,log vol score,score,mean volume,volatility,short mom,long mom,short unweighted mom,long unweighted mom
1680,-10.252168499478056,-51.67233544310668,-140.9755458750356,79079.0063801839,7.272302749986046e-05,-32.761304283608474,-18.995020813082423,-32.67884492826408,-21.45948422391908
320,-11.117680087948838,-53.65156715672755,-139.98095692461948,62842.116756447926,7.942280387421391e-05,-36.36325691935845,-24.36519855746369,-27.39446973505516,-24.388849419659834
350,-9.290499577611488,-48.83952630319608,-138.64439873251126,68054.44763390326,6.700955583164805e-05,-25.249705052764075,-13.711079597981731,-38.266845740758605,-17.73971914623505
20,-13.379887264811403,-58.74373366117338,-137.17428308412428,96346.3523049136,9.753932708076176e-05,-44.23439504120644,-21.816096839713182,-48.886876018731314,-23.94031413447247
2820,-6.128155780422377,-40.93077822465453,-137.12105120401506,67430.69337198307,4.469157526589132e-05,-25.96675864502629,-9.724261845014214,-18.22849072817063,-8.839728278392432
3790,-11.574074670000249,-54.08138900606056,-136.1580412294579,141166.3785171176,8.500470898002452e-05,-17.65273514639617,-25.71716589525719,-40.22046551615447,-28.022144929941973
1750,-10.021044316628393,-50.17936030237384,-136.0214301819302,68415.16828122402,7.367254044620126e-05,-28.55868443915273,-10.42770382403045,-45.8846424302659,-15.43850655209284
2560,-28.710162275941343,-93.70202234095864,-134.07991363196464,392872.2273180873,0.0002141272432107,-87.33179504958882,-65.6589121882497,-68.23783411744205,-66.21334123007527
1530,-15.356447696729427,-62.82017685161965,-133.24596590998397,133137.6024493641,0.000115248875205,-40.01985998449528,-26.72396556378392,-59.52301722245525,-30.956566732346424
370,-24.48741293068912,-84.08279288632238,-133.0908069708711,184550.8759436235,0.0001839902656541,-35.71734690055567,-25.98873331686978,-106.82750444584885,-61.4334152510135
1360,-6.162804428733079,-40.11141521863198,-132.5925027535848,58651.832129897055,4.647928277050687e-05,-19.51446559309867,-12.482032401080753,-16.56306059457971,-14.151574011360426
170,-9.15544922391026,-47.22453166295593,-131.73775388597062,48758.73120006589,6.949753547365792e-05,-27.41911616857561,-19.98540697075176,-25.22584156112073,-20.37911946321292
3000,-8.402930319170965,-45.03613828674442,-130.05159016076098,81880.77037050636,6.461228431566144e-05,-29.215325301943945,-14.372545103903535,-24.32894169576362,-18.48458579596228
2670,-7.850228330092767,-43.6544709287572,-129.9888075066926,61570.41411194214,6.039157124884455e-05,-18.844316626115827,-14.697574929594538,-28.890428526742745,-17.273339382688146
1780,-6.810730016926437,-41.07588991146465,-129.7468061182731,53279.43329658214,5.249246760431228e-05,-22.786578205201305,-12.625002709264516,-22.032404274283262,-13.16170942278352
270,-15.682240084030903,-62.67032024948151,-128.42689403587045,137267.1474521895,0.0001221102495841,-50.32459285288151,-8.536820223895464,-75.7578597668533,-14.764873595527694
290,-12.337343905347923,-54.37325346856522,-127.58607662271729,70504.6074538561,9.669819961491946e-05,-25.45420410260941,-11.718055954655505,-60.463525058357575,-21.22712801234442
